Id,MSSubClass,MSZoning,LotArea,Street,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,BldgType,HouseStyle,YearBuilt,YearRemodAdd,Foundation,BsmtQual,BsmtCond,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,HeatingQC,CentralAir,Electrical,GrLivArea,Functional,Fireplaces,GarageCars,PavedDrive,WoodDeckSF,MoSold,YrSold,SaleType,SaleCondition,SalePrice,MSSubclass_category,TotalBath,TotalPorchSF,TotalQual,BsmtTotalQual,BsmtQualFin_1and2,HasWoodDeckSF,HasTotalPorchSF
1,60,40,9.041921720351219,2,10,20,5,3,17,3,7,2003,2003,6,4,3,7,706,2,0,150,856,5,1,5,7.444248649496705,8,0,2,3,0.0,2,2008,7,5,12.247694320220994,30,3.5,4.110873864173311,383,17.591598599766627,310.1665929890413,0,1
2,20,40,9.169518377455928,2,10,20,3,3,20,3,5,1976,1976,3,4,3,6,978,2,0,284,1262,5,1,5,7.140453043101158,8,1,2,3,5.697093486505405,5,2007,7,5,12.109010932687042,30,2.5,0.0,396,16.42121931908155,295.07046301279996,1,0
3,60,40,9.328123407632566,2,20,20,5,3,17,3,7,2001,2002,6,4,3,7,486,2,0,434,920,5,1,5,7.487733761436444,8,1,2,3,0.0,9,2008,7,5,12.31716669303576,30,3.5,3.7376696182833684,383,15.222584147665582,295.66424626124893,0,1
4,70,40,9.164296433474776,2,20,20,2,3,19,3,7,1915,1970,2,3,4,6,216,2,0,540,756,4,1,5,7.448333860897476,8,1,3,3,0.0,2,2006,7,2,11.84939770159144,20,2.0,5.726847747587197,344,12.998678996036988,213.991762936959,0,1
5,60,40,9.565213693968287,2,20,20,3,3,24,3,7,2000,2000,6,4,3,7,655,2,0,490,1145,5,1,5,7.6953031349635665,8,1,3,3,5.2574953720277815,12,2008,7,5,12.429216196844383,30,3.5,4.430816798843313,408,15.573298429319372,319.821109820347,1,1
6,50,40,9.55499334068759,2,20,20,5,3,12,3,2,1993,1995,1,4,3,7,732,2,0,64,796,5,1,5,7.216709486709457,8,0,2,3,3.6888794541139363,10,2009,7,5,11.870599909242044,30,2.5,5.857933154483459,281,18.348808030112924,308.52200210377134,1,1
7,20,40,9.218705288307811,2,10,20,5,3,21,3,5,2004,2005,6,5,3,7,1369,2,0,317,1686,5,1,5,7.434847875211999,8,1,2,3,5.541263545158426,8,2007,7,5,12.634603026569334,30,3.0,4.04305126783455,408,20.492590397154714,375.6814072915242,1,1
8,60,40,9.247828816387175,2,20,20,2,3,15,3,7,1973,1973,3,4,3,6,859,5,32,216,1107,5,1,5,7.644919344958857,8,2,2,3,5.459585514144159,11,2009,7,5,12.206072645530174,30,3.5,6.068425588244111,366,16.601083032490976,406.7672621509979,1,1
9,50,20,8.719317375506371,2,10,20,5,3,4,3,2,1931,1950,2,3,3,2,0,2,0,952,952,4,1,2,7.480992162869525,7,2,2,3,4.499809670330265,4,2008,7,2,11.77452020265869,30,2.0,5.3230099791384085,331,8.001049317943338,0.0,1,1
10,190,40,8.911934336161426,2,10,20,2,3,6,4,1,1939,1950,2,3,3,7,851,2,0,140,991,5,1,5,6.981934677156389,8,2,1,3,0.0,1,2008,7,5,11.678439903447801,20,2.0,1.3862943611198906,306,14.863911290322582,325.8953507429781,0,1
